timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.75896E+12,0,8,1.7578125E-6,60,51,50,274478,27313,11276,3932,8032,6281,2543,929,Tag0,unknown
1.75896E+12,0,38,8.349609375E-6,69,61,40,12649,8409,2924,7641,6117,3627,1697,866,Tag0,unknown
1.75896E+12,0,72,1.58203125E-5,30,69,33,71256,16758502,13321,9422,5869,5684,12589,1824,Tag0,unknown
1.75896E+12,0,68,1.4941406250000001E-5,94,63,40,66329,10100,666,1579,1242,1513,764,882,Tag0,unknown
1.75896E+12,0,44,9.66796875E-6,83,75,61,9488,8839,7902,1197,2357,2280,1422,413,Tag0,unknown
1.75896E+12,0,106,2.3291015625000003E-5,47,80,42,16744972,11253,8596,2886,1398,915,5152,398,Tag0,unknown
1.75896E+12,0,65,1.42822265625E-5,78,63,44,5763,17141,18293,2515,3784,5639,19036,9777,Tag0,unknown
1.75896E+12,0,44,9.66796875E-6,37,37,41,42902,12389,2880,11155,3011,5351,3441,907,Tag0,unknown
1.75896E+12,0,75,1.64794921875E-5,66,77,38,4959,2804,1011,879,597,974,2626,275,Tag0,unknown
1.75896E+12,0,52,1.142578125E-5,38,50,38,15592,2463,869,832,348,1086,825,1669,Tag0,unknown
1.75896E+12,0,54,1.1865234375000001E-5,70,69,38,12399,4352,2451,836,351,2103,4150,661,Tag0,unknown
1.75896E+12,0,88,1.93359375E-5,64,81,38,4444,2303,16777133,3261,201,1179,3436,198,Tag0,unknown
1.75896E+12,0,52,1.142578125E-5,23,60,38,16747013,16750510,11012,6369,1746,2861,6355,7083,Tag0,unknown
1.75896E+12,0,75,1.64794921875E-5,67,64,38,2956,3102,2522,340,298,756,1635,876,Tag0,unknown
1.75896E+12,0,86,1.8896484375000003E-5,51,77,38,2877,897,1285,1465,791,692,1657,253,Tag0,unknown
1.75896E+12,0,70,1.5380859375E-5,53,61,38,4520,4297,6650,969,393,1691,1571,193,Tag0,unknown
1.75896E+12,0,69,1.51611328125E-5,38,37,38,9476,5396,1227,154,1658,402,549,1160,Tag0,unknown
1.75896E+12,0,57,1.2524414062500001E-5,38,43,38,5018,5867,443,2426,807,1215,1052,655,Tag0,unknown
1.75896E+12,0,53,1.1645507812500002E-5,53,70,38,7837,3123,1924,595,460,846,2511,613,Tag0,unknown
1.75896E+12,0,85,1.86767578125E-5,75,41,38,7425,4411,385,1027,2305,685,2904,509,Tag0,unknown
1.75896E+12,0,10,2.197265625E-6,69,66,50,11317,5234,2481,4776,5610,2042,1444,1527,Tag0,unknown
1.75896E+12,0,66,1.4501953125E-5,63,51,39,3977,2019,873,1565,612,1069,1917,255,Tag0,unknown
1.75896E+12,0,88,1.93359375E-5,34,53,41,12075,6195,649,1156,893,905,681,477,Tag0,unknown
1.75896E+12,0,66,1.4501953125E-5,47,51,41,21366,15985,950,2683,700,1468,416,530,Tag0,unknown
1.75896E+12,0,89,1.95556640625E-5,77,96,41,2645,621,3434,5188,801,2257,731,511,Tag0,unknown
1.75896E+12,0,64,1.40625E-5,38,37,41,277448,73166,27021,22603,11888,12155,15639,1211,Tag0,unknown
1.75896E+12,0,102,2.2412109374999998E-5,50,74,41,662,4218,2084,540,2151,3249,3087,177,Tag0,unknown
1.75896E+12,0,119,2.6147460937500004E-5,75,43,41,16744739,8059,511,2095,6442,25762,23334,1485,Tag0,unknown
1.75896E+12,0,7,1.5380859375E-6,54,60,41,5672,3347,1822,2653,870,1353,6997,194,Tag0,unknown
1.75896E+12,0,102,2.2412109374999998E-5,54,70,41,5933,4082,432,1402,1779,2866,5065,831,Tag0,unknown
1.75896E+12,0,87,1.91162109375E-5,81,41,41,2530,3300,1373,377,1025,3365,5170,224,Tag0,unknown
