timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1760593905926,26,-14,-3.076171875E-6,27,38,51,1001533,232936,42218,131204,127876,16761410,16775754,76711,Tag0,unknown
1760593965972,0,-213,-4.68017578125E-5,48,78,76,827826,472992,16776464,44067,16763057,91120,24903,16762482,Tag0,unknown
1760594026008,0,-294,-6.4599609375E-5,78,94,45,381036,16769525,16744817,20240,6136,28533,25959,5027,Tag0,unknown
1760594086071,0,261,5.73486328125E-5,66,56,39,364936,73589,12218,10517,4306,16400,7796,4105,Tag0,unknown
1760594146071,0,38,8.349609375E-6,66,30,37,1568200,16770639,15189,30875,16756072,68100,16768728,13012,Tag0,unknown
1760594206124,0,-276,-6.064453125E-5,78,69,35,239121,25144,25735,14004,28857,25679,16749243,21399,Tag0,unknown
1760594266168,0,-194,-4.2626953125E-5,11,29,44,106630,16771851,7588,2687,16339,10191,5030,419,Tag0,unknown
1760594326168,0,-62,-1.3623046875E-5,13,38,41,519165,252628,31449,16749947,24531,16745763,24390,19013,Tag0,unknown
1760594386169,0,-307,-6.74560546875E-5,53,64,35,464673,83652,136356,86272,16753211,39314,16776743,16755943,Tag0,unknown
1760594446223,0,-96,-2.109375E-5,23,47,39,105496,16754618,8811,944,8668,10720,8300,3382,Tag0,unknown
1760594506223,0,-280,-6.15234375E-5,54,48,78,215517,62072,4734,9548,14650,26247,23601,6496,Tag0,unknown
1760594566236,0,-306,-6.723632812500001E-5,8,44,39,389862,296917,16754966,20268,13958,24122,16744561,9727,Tag0,unknown
1760594626236,0,-84,-1.8457031250000004E-5,43,54,39,508204,188808,4890,14891,5307,22207,17866,7353,Tag0,unknown
1760594686239,0,-329,-7.229003906250001E-5,30,48,40,832516,1610896,70042,314327,42538,37774,113710,16748554,Tag0,unknown
1760594746239,0,98,2.1533203125E-5,41,51,42,1963044,1701735,102215,477291,115049,157466,134491,16771962,Tag0,unknown
1760594806239,0,71,1.56005859375E-5,69,64,37,12537,9998,2819,1275,1086,1549,1442,203,Tag0,unknown
1760594866302,0,28,6.15234375E-6,70,77,40,1826052,40754,78265,16763351,16746962,16764590,16752439,16746895,Tag0,unknown
1760594926331,0,-312,-6.85546875E-5,70,56,39,219301,63921,16706,3993,9544,9817,9770,11202,Tag0,unknown
1760594986331,0,-538,-1.1821289062499999E-4,69,75,67,148679,115372,45182,17204,23999,20149,29716,6439,Tag0,unknown
1760595046331,0,-87,-1.91162109375E-5,69,70,59,3484598,95538,225079,81932,85420,57592,129360,32271,Tag0,unknown
1760595106331,0,98,2.1533203125E-5,64,37,42,91374,16746540,1191,1045,1026,2318,1256,344,Tag0,unknown
1760595166331,0,36,7.91015625E-6,80,51,62,3070,714,1852,401,1210,1031,1033,183,Tag0,unknown
1760595226331,0,-264,-5.80078125E-5,53,54,46,950016,55909,16747662,12949,16753955,73438,78284,17174,Tag0,unknown
1760595286332,0,-289,-6.35009765625E-5,34,47,44,677422,110280,16756685,16744436,8076,16763191,24829,19517,Tag0,unknown
1760595346332,0,-260,-5.712890625E-5,40,67,38,347040,31468,21549,12340,12964,7285,18204,3882,Tag0,unknown
1760595406394,0,-292,-6.416015625000001E-5,56,61,43,1987385,66499,15566,5989,7646,10479,12253,5734,Tag0,unknown
1760595466394,0,66,1.4501953125E-5,77,40,38,1138,4078,2571,1110,1339,8623,2830,2122,Tag0,unknown
1760595526396,0,97,2.13134765625E-5,38,43,45,16769748,16765689,25470,4870,2088,8146,2975,2396,Tag0,unknown
1760595586398,0,-293,-6.43798828125E-5,57,51,43,2018771,906431,16752865,92897,16760122,153853,16748183,16747216,Tag0,unknown
1760595646404,0,102,2.2412109374999998E-5,35,43,44,20728,9010,2423,3773,1332,2910,1525,157,Tag0,unknown
1760595706405,0,70,1.5380859375E-5,37,38,47,768170,40790,8250,12846,7307,13527,2734,2935,Tag0,unknown
1760595766405,0,44,9.66796875E-6,90,14,38,5717,21521,4642,2746,9592,23878,16093,10335,Tag0,unknown
1760595826409,0,50,1.0986328125E-5,7,30,38,218778,16766989,6620,4215,2019,2728,8804,3085,Tag0,unknown
1760595886422,0,44,9.66796875E-6,10,40,44,16771377,12834,3509,2783,1804,1412,1438,1181,Tag0,unknown
1760595946422,0,-264,-5.80078125E-5,35,70,40,1659959,138782,65431,16761111,24741,16765431,24636,10456,Tag0,unknown
1760596006429,0,-93,-2.04345703125E-5,30,47,45,1718468,16772987,16764202,16745360,16762397,30516,12179,9545,Tag0,unknown
1760596066445,0,104,2.28515625E-5,20,50,43,612915,1333409,378650,271771,158922,169899,158220,30405,Tag0,unknown
1760596126472,0,284,6.240234375E-5,20,50,41,1533464,440088,28676,16757486,16747203,16747516,16768521,23908,Tag0,unknown
1760596186494,0,76,1.669921875E-5,35,78,45,1049469,610334,33814,16771433,23891,148441,16763902,16764618,Tag0,unknown
